"","key_ID","parliament_ID","session_ID","division_ID","division_number","date","type","bill_ID","bill_number","result","yea","nay","paired"
"1",1,42,"1","42-1-1",1,"2015-12-08","Other (address in reply to the Speech from the Throne)","None","None","Negatived","52","276","0"
"2",2,42,"1","42-1-2",2,"2015-12-09","Motion (Ways and Means)","None","None","Agreed To","230","95","0"
"3",3,42,"1","42-1-3",3,"2015-12-10","Motion (opposition)","None","None","Negatived","104","220","0"
"4",4,42,"1","42-1-4",4,"2015-12-10","Concurrence (in estimates)","None","None","Agreed To","228","96","0"
"5",5,42,"1","42-1-5",5,"2015-12-10","Bill: second reading","42-1-C-3","C-3","Agreed To","227","96","0"
"6",6,42,"1","42-1-6",6,"2015-12-10","Bill: concurrence at report stage","42-1-C-3","C-3","Agreed To","227","96","0"
"7",7,42,"1","42-1-7",7,"2015-12-10","Bill: third reading","42-1-C-3","C-3","Agreed To","227","96","0"
"8",8,42,"1","42-1-8",8,"2016-01-25","Other (address in reply to the Speech from the Throne)","None","None","Negatived","95","216","0"
"9",9,42,"1","42-1-9",9,"2016-01-25","Other (address in reply to the Speech from the Throne)","None","None","Negatived","87","224","0"
"10",10,42,"1","42-1-10",10,"2016-01-27","Other (address in reply to the Speech from the Throne)","None","None","Agreed To","178","139","0"
"11",11,42,"1","42-1-11",11,"2016-02-01","Motion (opposition)","None","None","Negatived","92","222","0"
"12",12,42,"1","42-1-12",12,"2016-02-03","Motion (opposition)","None","None","Agreed To","224","91","0"
"13",13,42,"1","42-1-13",13,"2016-02-16","Motion (opposition)","None","None","Negatived","130","177","0"
"14",14,42,"1","42-1-14",14,"2016-02-22","Motion (opposition)","None","None","Agreed To","229","51","0"
"15",15,42,"1","42-1-15",15,"2016-03-07","Motion (opposition)","None","None","Negatived","48","262","0"
"16",16,42,"1","42-1-16",16,"2016-03-07","Bill: second reading","42-1-C-4","C-4","Negatived","91","220","0"
"17",17,42,"1","42-1-17",17,"2016-03-07","Bill: second reading","42-1-C-4","C-4","Agreed To","219","90","0"
"18",18,42,"1","42-1-18",18,"2016-03-08","Government business","None","None","Negatived","95","230","0"
"19",19,42,"1","42-1-19",19,"2016-03-08","Government business","None","None","Agreed To","178","147","0"
"20",20,42,"1","42-1-20",20,"2016-03-08","Bill: second reading","42-1-C-2","C-2","Negatived","95","230","0"
"21",21,42,"1","42-1-21",21,"2016-03-09","Motion (opposition)","None","None","Negatived","96","218","0"
"22",22,42,"1","42-1-22",22,"2016-03-21","Motion (opposition)","None","None","Negatived","90","225","0"
"23",23,42,"1","42-1-23",23,"2016-03-21","Concurrence (in an opposed item)","None","None","Agreed To","216","100","0"
"24",24,42,"1","42-1-24",24,"2016-03-21","Concurrence (in estimates)","None","None","Agreed To","174","142","0"
"25",25,42,"1","42-1-25",25,"2016-03-21","Bill: second reading","42-1-C-8","C-8","Agreed To","174","142","0"
"26",26,42,"1","42-1-26",26,"2016-03-21","Bill: concurrence at report stage","42-1-C-8","C-8","Agreed To","174","142","0"
"27",27,42,"1","42-1-27",27,"2016-03-21","Bill: third reading","42-1-C-8","C-8","Agreed To","174","141","0"
"28",28,42,"1","42-1-28",28,"2016-03-21","Concurrence (in interim supply)","None","None","Agreed To","174","141","0"
"29",29,42,"1","42-1-29",29,"2016-03-21","Bill: second reading","42-1-C-9","C-9","Agreed To","174","142","0"
"30",30,42,"1","42-1-30",30,"2016-03-21","Bill: concurrence at report stage","42-1-C-9","C-9","Agreed To","174","142","0"
"31",31,42,"1","42-1-31",31,"2016-03-21","Bill: third reading","42-1-C-9","C-9","Agreed To","174","142","0"
"32",32,42,"1","42-1-32",32,"2016-03-21","Bill: second reading","42-1-C-6","C-6","Agreed To","226","90","0"
"33",33,42,"1","42-1-33",33,"2016-03-21","Bill: second reading","42-1-C-2","C-2","Agreed To","226","90","0"
"34",34,42,"1","42-1-34",34,"2016-04-12","Other (budgetary policy)","None","None","Negatived","53","272","0"
"35",35,42,"1","42-1-35",35,"2016-04-13","Other (budgetary policy)","None","None","Negatived","89","228","0"
"36",36,42,"1","42-1-36",36,"2016-04-19","Other (budgetary policy)","None","None","Agreed To","174","134","0"
