"","title","event_description","observation_number","parliament_number","session_number","chamber_number","bill_number","event_number","member_name","event_date","event_chamber","document_url","parliament_path","session_path","chamber_path","bill_path","event_path","observation_path"
"1","Prisons (Interference with Wireless Telegraphy) Bill","1st reading: House of Commons 19 July, 2017",1,57,"2017-2019",1,1,1,"Baroness Pidding"," 19 July, 2017","House of Commons","https://hansard.parliament.uk/commons/2017-07-19/debates/AE667929-DA6E-4938-9928-FE573D5D0F3A/PointsOfOrder#contribution-AFAE31A7-9A6A-47A2-A317-07F09FE4F504","/parliament-57","/parliament-57/session-2017-2019","/parliament-57/session-2017-2019/chamber-1","/parliament-57/session-2017-2019/chamber-1/bill-1","/parliament-57/session-2017-2019/chamber-1/bill-1/event-1","/parliament-57/session-2017-2019/chamber-1/bill-1/event-1"
"2","Prisons (Interference with Wireless Telegraphy) Bill","2nd reading: House of Commons 1 December, 2017",2,57,"2017-2019",1,1,2,"Baroness Pidding"," 1 December, 2017","House of Commons","https://hansard.parliament.uk/commons/2017-12-01/debates/3917F02B-026A-4CE6-86C8-B786CABAF6D9/Prisons(InterferenceWithWirelessTelegraphy)Bill#contribution-E3350E95-B165-4D08-819A-17E10E909883","/parliament-57","/parliament-57/session-2017-2019","/parliament-57/session-2017-2019/chamber-1","/parliament-57/session-2017-2019/chamber-1/bill-1","/parliament-57/session-2017-2019/chamber-1/bill-1/event-2","/parliament-57/session-2017-2019/chamber-1/bill-1/event-2"
"3","Prisons (Interference with Wireless Telegraphy) Bill","Money resolution: House of Commons 1 May, 2018",3,57,"2017-2019",1,1,3,"Baroness Pidding"," 1 May, 2018","House of Commons","https://hansard.parliament.uk/commons/2018-05-01/debates/F8578DF8-5986-42AF-B553-417589BFC322/Prisons(InterferenceWithWirelessTelegraphy)Bill(Money)","/parliament-57","/parliament-57/session-2017-2019","/parliament-57/session-2017-2019/chamber-1","/parliament-57/session-2017-2019/chamber-1/bill-1","/parliament-57/session-2017-2019/chamber-1/bill-1/event-3","/parliament-57/session-2017-2019/chamber-1/bill-1/event-3"
"4","Prisons (Interference with Wireless Telegraphy) Bill","Committee Debate: 1st sitting: House of Commons 9 May, 2018(1)(2)",4,57,"2017-2019",1,1,4,"Baroness Pidding"," 9 May, 2018","House of Commons","https://hansard.parliament.uk/commons/2018-05-09/debates/d78eade4-2e02-472d-80fd-f85a5b6ff26b/Prisons(InterferenceWithWirelessTelegraphy)Bill","/parliament-57","/parliament-57/session-2017-2019","/parliament-57/session-2017-2019/chamber-1","/parliament-57/session-2017-2019/chamber-1/bill-1","/parliament-57/session-2017-2019/chamber-1/bill-1/event-4","/parliament-57/session-2017-2019/chamber-1/bill-1/event-4"
"5","Prisons (Interference with Wireless Telegraphy) Bill","Report stage: House of Commons 6 July, 2018",5,57,"2017-2019",1,1,5,"Baroness Pidding"," 6 July, 2018","House of Commons","https://hansard.parliament.uk/commons/2018-07-06/debates/4C169D4D-2EB6-4E79-B2FA-F55B2C56D759/Prisons(InterferenceWithWirelessTelegraphy)Bill","/parliament-57","/parliament-57/session-2017-2019","/parliament-57/session-2017-2019/chamber-1","/parliament-57/session-2017-2019/chamber-1/bill-1","/parliament-57/session-2017-2019/chamber-1/bill-1/event-5","/parliament-57/session-2017-2019/chamber-1/bill-1/event-5"
"6","Prisons (Interference with Wireless Telegraphy) Bill","3rd reading: House of Commons 6 July, 2018",6,57,"2017-2019",1,1,6,"Baroness Pidding"," 6 July, 2018","House of Commons","https://hansard.parliament.uk/commons/2018-07-06/debates/4C169D4D-2EB6-4E79-B2FA-F55B2C56D759/Prisons(InterferenceWithWirelessTelegraphy)Bill","/parliament-57","/parliament-57/session-2017-2019","/parliament-57/session-2017-2019/chamber-1","/parliament-57/session-2017-2019/chamber-1/bill-1","/parliament-57/session-2017-2019/chamber-1/bill-1/event-6","/parliament-57/session-2017-2019/chamber-1/bill-1/event-6"
"7","Prisons (Interference with Wireless Telegraphy) Bill","1st reading (Hansard): House of Lords 9 July, 2018",7,57,"2017-2019",1,1,7,"Baroness Pidding"," 9 July, 2018","House of Commons","https://hansard.parliament.uk/lords/2018-07-09/debates/7674C52A-E3E6-4F3F-B83A-249CA10451FD/Prisons(InterferenceWithWirelessTelegraphy)Bill","/parliament-57","/parliament-57/session-2017-2019","/parliament-57/session-2017-2019/chamber-1","/parliament-57/session-2017-2019/chamber-1/bill-1","/parliament-57/session-2017-2019/chamber-1/bill-1/event-7","/parliament-57/session-2017-2019/chamber-1/bill-1/event-7"
"8","Prisons (Interference with Wireless Telegraphy) Bill","1st reading (Minutes of Proceedings): House of Lords 9 July, 2018",8,57,"2017-2019",1,1,8,"Baroness Pidding"," 9 July, 2018","House of Commons","http://lordsbusiness.parliament.uk/ItemOfBusiness?itemOfBusinessId=51463&sectionId=40&businessPaperDate=2018-07-09","/parliament-57","/parliament-57/session-2017-2019","/parliament-57/session-2017-2019/chamber-1","/parliament-57/session-2017-2019/chamber-1/bill-1","/parliament-57/session-2017-2019/chamber-1/bill-1/event-8","/parliament-57/session-2017-2019/chamber-1/bill-1/event-8"
"9","Prisons (Interference with Wireless Telegraphy) Bill","2nd reading (Hansard): House of Lords 26 October, 2018",9,57,"2017-2019",1,1,9,"Baroness Pidding"," 26 October, 2018","House of Commons","https://hansard.parliament.uk/lords/2018-10-26/debates/204539EA-BB8C-475B-BCF9-83AA901283AF/Prisons(InterferenceWithWirelessTelegraphy)Bill","/parliament-57","/parliament-57/session-2017-2019","/parliament-57/session-2017-2019/chamber-1","/parliament-57/session-2017-2019/chamber-1/bill-1","/parliament-57/session-2017-2019/chamber-1/bill-1/event-9","/parliament-57/session-2017-2019/chamber-1/bill-1/event-9"
"10","Prisons (Interference with Wireless Telegraphy) Bill","2nd reading (Minutes of Proceedings): House of Lords 26 October, 2018",10,57,"2017-2019",1,1,10,"Baroness Pidding"," 26 October, 2018","House of Commons","http://lordsbusiness.parliament.uk/ItemOfBusiness?itemOfBusinessId=54155&sectionId=40&businessPaperDate=2018-10-26","/parliament-57","/parliament-57/session-2017-2019","/parliament-57/session-2017-2019/chamber-1","/parliament-57/session-2017-2019/chamber-1/bill-1","/parliament-57/session-2017-2019/chamber-1/bill-1/event-10","/parliament-57/session-2017-2019/chamber-1/bill-1/event-10"
"11","Prisons (Interference with Wireless Telegraphy) Bill","Order of Commitment discharged (Hansard): House of Lords 26 November, 2018",11,57,"2017-2019",1,1,11,"Baroness Pidding"," 26 November, 2018","House of Commons","https://hansard.parliament.uk/lords/2018-11-26/debates/3125CC59-B99F-47FF-9292-345A6518DB2D/Prisons(InterferenceWithWirelessTelegraphy)Bill","/parliament-57","/parliament-57/session-2017-2019","/parliament-57/session-2017-2019/chamber-1","/parliament-57/session-2017-2019/chamber-1/bill-1","/parliament-57/session-2017-2019/chamber-1/bill-1/event-11","/parliament-57/session-2017-2019/chamber-1/bill-1/event-11"
"12","Prisons (Interference with Wireless Telegraphy) Bill","Order of Commitment discharged (Minutes of Proceedings): House of Lords 26 November, 2018",12,57,"2017-2019",1,1,12,"Baroness Pidding"," 26 November, 2018","House of Commons","http://lordsbusiness.parliament.uk/ItemOfBusiness?itemOfBusinessId=55873&sectionId=40&businessPaperDate=2018-11-26","/parliament-57","/parliament-57/session-2017-2019","/parliament-57/session-2017-2019/chamber-1","/parliament-57/session-2017-2019/chamber-1/bill-1","/parliament-57/session-2017-2019/chamber-1/bill-1/event-12","/parliament-57/session-2017-2019/chamber-1/bill-1/event-12"
"13","Prisons (Interference with Wireless Telegraphy) Bill","3rd reading (Hansard): House of Lords 12 December, 2018",13,57,"2017-2019",1,1,13,"Baroness Pidding"," 12 December, 2018","House of Commons","https://hansard.parliament.uk/lords/2018-12-12/debates/7B11488B-51EC-4BE5-A08E-137DDB6F000D/Prisons(InterferenceWithWirelessTelegraphy)Bill","/parliament-57","/parliament-57/session-2017-2019","/parliament-57/session-2017-2019/chamber-1","/parliament-57/session-2017-2019/chamber-1/bill-1","/parliament-57/session-2017-2019/chamber-1/bill-1/event-13","/parliament-57/session-2017-2019/chamber-1/bill-1/event-13"
